"/roll_ref/data_x","/roll_ref/data_y","/roll_mv/data_x","/roll_mv/data_y"
 , ,110.886354,-0.1113223941,
 , ,110.9064682,-0.110878476,
 , ,110.9281051,-0.1100421584,
 , ,110.9474721,-0.1093459363,
 , ,110.9693341,-0.1087026924,
 , ,110.988313,-0.1080605693,
 , ,111.0094101,-0.1076515502,
 , ,111.0295529,-0.1067366384,
 , ,111.0497601,-0.1062154412,
 , ,111.0700262,-0.1049718488,
 , ,111.090838,-0.1034846015,
 , ,111.1109719,-0.1026534378,
 , ,111.1314399,-0.1009514427,
 , ,111.1521142,-0.09947598196,
 , ,111.1723289,-0.09884912342,
 , ,111.192858,-0.09769664545,
 , ,111.213124,-0.09669036281,
 , ,111.233814,-0.09621176746,
 , ,111.2542861,-0.09536383715,
 , ,111.274358,-0.09460434318,
 , ,111.294822,-0.09426428527,
 , ,111.3153291,-0.09359991165,
 , ,111.336061,-0.093239558,
 , ,111.3563261,-0.09250255111,
 , ,111.379889,-0.09190575076,
 , ,111.397835,-0.09134880719,
 , ,111.419245,-0.09110849515,
 , ,111.4386861,-0.09053786247,
 , ,111.4612169,-0.08992532336,
 , ,111.480026,-0.08916145927,
 , ,111.503268,-0.08872887224,
 , ,111.5226381,-0.08778090185,
 , ,111.542181,-0.08677942364,
 , ,111.5631361,-0.08577606889,
 , ,111.582937,-0.08530229014,
 , ,111.6037161,-0.08445486893,
 , ,111.624114,-0.08409486237,
 , ,111.644557,-0.08347564991,
 , ,111.6649411,-0.08285463318,
 , ,111.685401,-0.0821979961,
 , ,111.705914,-0.08187359016,
 , ,111.7261591,-0.08127916489,
 , ,111.7465541,-0.08066321645,
 , ,111.7696371,-0.08035630048,
 , ,111.787873,-0.07969753105,
 , ,111.8095791,-0.07886786283,
 , ,111.8285961,-0.07785286272,
 , ,111.8494871,-0.07726048393,
 , ,111.8695531,-0.07579214596,
 , ,111.890507,-0.07405198858,
 , ,111.9105051,-0.07303830605,
 , ,111.9310369,-0.0707460887,
 , ,111.9515681,-0.06804280669,
 , ,111.971854,-0.06657799988,
 , ,111.9924841,-0.06343402908,
 , ,112.012924,-0.06022594502,
 , ,112.0333331,-0.05705076635,
 , ,112.053993,-0.05405299395,
 , ,112.0742521,-0.05261310813,
 , ,112.0949039,-0.04973988557,
 , ,112.1153131,-0.04690327011,
 , ,112.136025,-0.04414174813,
 , ,112.1561551,-0.04149081155,
 , ,112.1789861,-0.04015385034,
 , ,112.19713,-0.03753759145,
 , ,112.2203062,-0.03496423249,
 , ,112.238157,-0.03233556321,
 , ,112.2634501,-0.03105026629,
 , ,112.2793519,-0.02837915458,
 , ,112.301784,-0.02697521512,
 , ,112.32023,-0.024161829,
 , ,112.342947,-0.02280305653,
 , ,112.3639581,-0.02005789921,
 , ,112.383796,-0.01739532597,
 , ,112.403441,-0.0147604591,
 , ,112.422971,-0.01350422669,
 , ,112.4437251,-0.01106520581,
 , ,112.4639502,-0.008741268109,
 , ,112.4842629,-0.007607805633,
 , ,112.5047791,-0.005533144512,
 , ,112.5259771,-0.003629381588,
 , ,112.545568,-0.00197140361,
 , ,112.566128,-0.00120381695,
 , ,112.5865741,0.0001327040352,
 , ,112.6100421,0.001214802444,
 , ,112.627826,0.001670274206,
 , ,112.650368,0.002368007746,
 , ,112.668571,0.002891937782,
 , ,112.690259,0.003072907351,
 , ,112.7097981,0.00330437977,
 , ,112.7301672,0.003453888104,
 , ,112.750742,0.003555127472,
 , ,112.7720551,0.00359589071,
 , ,112.7914979,0.003743316585,
 , ,112.812475,0.003787187971,
 , ,112.832484,0.004002400168,
 , ,112.8533251,0.004220470516,
 , ,112.8735461,0.00449493046,
 , ,112.8940489,0.004623670268,
 , ,112.914252,0.004903230415,
 , ,112.9347851,0.005142825107,
 , ,112.9551749,0.005381552282,
 , ,112.9757249,0.005501412355,
 , ,112.9962981,0.0056993338,
 , ,113.0181921,0.005857077368,
 , ,113.0373449,0.00598369527,
 , ,113.058713,0.006027168581,
 , ,113.0780201,0.006088346591,
 , ,113.098747,0.00612990456,
 , ,113.119596,0.006143720925,
 , ,113.1414402,0.006166528641,
 , ,113.160085,0.006221958898,
 , ,113.1814451,0.006241241839,
 , ,113.201647,0.006284184899,
 , ,113.2218001,0.006339234781,
 , ,113.24405,0.006384165975,
 , ,113.2632611,0.006418609588,
 , ,113.283896,0.006456132744,
 , ,113.3038189,0.006471624064,
 , ,113.323921,0.006481357134,
 , ,113.3446181,0.006463261449,
